"5";"Exérèse du thymus vestigial, par thoracotomie"
"CCSA001";"Fermeture de fistule de périlymphe"
"CDQP003";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, sous anesthésie générale"
"CDQP006";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil et étude des temps de conduction, sans anesthésie générale"
"CDQP017";"Enregistrement des potentiels évoqués auditifs précoces pour étude des temps de conduction"
"DAAF003";"Agrandissement d'une communication interatriale, par voie veineuse transcutanée"
"DAFA003";"Résection d'un anévrisme de la paroi du ventricule du coeur, par thoracotomie avec CEC"
"DAFA006";"Résection d'un bourrelet musculaire infraaortique pour cardiomyopathie obstructive, par thoracotomie avec CEC"
"DAFA009";"Exérèse d'une tumeur du coeur, par thoracotomie avec CEC"
"DAGA001";"Ablation de corps étranger ou exérèse de végétation ou de caillot intracavitaire cardiaque, par thoracotomie avec CEC"
"DAGF001";"Ablation de corps étranger intracavitaire cardiaque ou intravasculaire, par voie vasculaire transcutanée"
"DAHF001";"Biopsie de l'endocarde et du myocarde, par voie vasculaire transcutanée"
"DAPA001";"Interruption du canal artériel, par thoracotomie sans CEC"
"DAQJ001";"Échocardiographie continue avec épreuve pharmacologique de stress pour étude de la viabilité et de l'ischémie du myocarde, par voie oesophagienne"
"DAQJ002";"Échocardiographie transthoracique continue avec épreuve pharmacologique de stress, pour étude de la viabilité et de l'ischémie du myocarde"
"DAQJ003";"Échocardiographie continue avec épreuve pharmacologique de stress pour étude de la viabilité du myocarde, par voie oesophagienne"
"DAQL003";"Tomoscintigraphie de perfusion myocardique de repos, sans synchronisation à l'électrocardiogramme"
"DAQL008";"Scintigraphie des cavités cardiaques au repos selon plusieurs incidences"
"DAQL011";"Tomoscintigraphie de perfusion myocardique de repos, avec tomoscintigraphie de perfusion myocardique après épreuve d'effort ou épreuve pharmacologique sans synchronisation à l'électrocardiogramme"
"DAQL014";"Tomoscintigraphie de perfusion myocardique de repos, avec synchronisation à l'électrocardiogramme"
"DAQM001";"Échocardiographie transthoracique continue avec épreuve pharmacologique de stress, pour étude de la viabilité du myocarde"
"DASA012";"Fermeture d'une communication interventriculaire sans pose d'un conduit extracardiaque, par thoracotomie avec CEC"
"DBKA003";"Remplacement de la valve aortique par bioprothèse sans armature, par thoracotomie avec CEC"
"DBKA006";"Remplacement de la valve aortique par prothèse mécanique ou bioprothèse avec armature, par thoracotomie avec CEC"
"DBKA009";"Remplacement de la valve atrioventriculaire gauche et de la valve aortique par prothèse mécanique ou par bioprothèse avec armature, par thoracotomie avec CEC"
"DBKA010";"Remplacement de la valve atrioventriculaire gauche par prothèse mécanique ou bioprothèse avec armature, par thoracotomie avec CEC"
"DBMA002";"Valvoplastie atrioventriculaire gauche, par thoracotomie avec CEC"
"DBMA006";"Reconstruction de l'anneau aortique avec remplacement de la valve par bioprothèse sans armature, par thoracotomie avec CEC"
"DBMA007";"Reconstruction de l'anneau atrioventriculaire gauche avec valvoplastie, par thoracotomie avec CEC"
"DBMA013";"Reconstruction de l'anneau atrioventriculaire gauche avec remplacement de la valve par prothèse mécanique ou bioprothèse avec armature, par thoracotomie avec CEC"
"DBQM001";"Échographie-doppler transthoracique continue du coeur avec épreuve pharmacologique de stress, pour étude d'une valvopathie [valvulopathie]"
"DCFA001";"Péricardectomie subtotale, par thoracotomie"
"DCJA001";"Drainage d'une collection du péricarde, par thoracotomie ou par abord infraxiphoïdien"
"DCJB001";"Drainage d'une collection du péricarde, par voie transcutanée"
"DCJB002";"Évacuation d'une collection du péricarde, par voie transcutanée"
"DCMC001";"Création de fenêtre péricardopleurale, par thoracoscopie"
"DDAF001";"Dilatation intraluminale d'un vaisseau coronaire sans pose d'endoprothèse, par voie artérielle transcutanée"
"DDAF002";"Dilatation intraluminale de 2 vaisseaux coronaires sans pose d'endoprothèse, par voie artérielle transcutanée"
"DDAF003";"Dilatation intraluminale de 3 vaisseaux coronaires ou plus avec pose d'endoprothèse, par voie artérielle transcutanée"
"DDAF004";"Dilatation intraluminale de 2 vaisseaux coronaires avec pose d'endoprothèse, par voie artérielle transcutanée"
"DDAF005";"Dilatation intraluminale de 3 vaisseaux coronaires ou plus sans pose d'endoprothèse, par voie artérielle transcutanée"
"DDAF006";"Dilatation intraluminale d'un vaisseau coronaire avec pose d'endoprothèse, par voie artérielle transcutanée"
"DDMA002";"Revascularisation coronaire par greffon artériel ou veineux avec une anastomose distale, par thoracotomie sans CEC"
"DDMA003";"Revascularisation coronaire par trois greffons artériels avec trois anastomoses distales, par thoracotomie avec CEC"
"DDMA005";"Revascularisation coronaire par deux greffons artériels et par greffon veineux avec trois anastomoses distales, par thoracotomie avec CEC"
"DDMA007";"Revascularisation coronaire par greffon veineux avec une anastomose distale, par thoracotomie avec CEC"
"DDMA011";"Revascularisation coronaire par un greffon artériel et par greffon veineux avec deux anastomoses distales, par thoracotomie avec CEC"
"DDMA015";"Revascularisation coronaire par un greffon artériel avec une anastomose distale, par thoracotomie avec CEC"
"DDMA016";"Revascularisation coronaire par greffon veineux avec trois anastomoses distales, par thoracotomie avec CEC"
"DDMA017";"Revascularisation coronaire par un greffon artériel avec deux anastomoses distales, par thoracotomie avec CEC"
"DDMA018";"Revascularisation coronaire par un greffon artériel et par greffon veineux avec trois anastomoses distales, par thoracotomie avec CEC"
"DDMA020";"Revascularisation coronaire par deux greffons artériels avec deux anastomoses distales, par thoracotomie avec CEC"
"DDMA021";"Revascularisation coronaire par un greffon artériel et par greffon veineux avec plus de trois anastomoses distales, par thoracotomie avec CEC"
"DDQF001";"Échographie et/ou échographie-doppler intraartérielle coronaire, aortique ou rénale, au cours d'un acte diagnostique ou thérapeutique par voie vasculaire transcutanée"
"DDQH001";"Artériographie coronaire avec angiographie de plusieurs pontages coronaires, par voie artérielle transcutanée"
"DDQH002";"Artériographie coronaire, par voie artérielle"
"DDQH004";"Artériographie coronaire avec angiographie d'un pontage coronaire, ventriculographie gauche et artériographie de l'aorte suprasigmoïdienne, par voie artérielle transcutanée"
"DDQH005";"Artériographie coronaire avec angiographie d'un pontage coronaire, par voie artérielle transcutanée"
"DDQH007";"Artériographie coronaire avec ventriculographie gauche et artériographie de l'aorte suprasigmoïdienne, par voie artérielle transcutanée"
"DDQH008";"Artériographie coronaire avec angiographie de plusieurs pontages coronaires, ventriculographie gauche et artériographie de l'aorte suprasigmoïdienne, par voie artérielle transcutanée"
"DDRH001";"Épreuve pharmacodynamique de provocation de spasme coronaire, au cours d'une artériographie coronaire"
"DDSF001";"Embolisation ou fermeture d'une fistule ou d'un anévrisme coronaire, par voie vasculaire transcutanée"
"DEEF001";"Repositionnement d'une sonde définitive de stimulation intracardiaque, par voie veineuse transcutanée"
"DEGF003";"Ablation de plusieurs sondes définitives de stimulation ou de défibrillation intracardiaque avec utilisation d'un dispositif spécifique, par voie veineuse transcutanée"
"DEKF005";"Changement d'une sonde définitive de stimulation intracardiaque sans utilisation de dispositif spécifique, par voie veineuse transcutanée"
"DELA001";"Implantation d'un stimulateur cardiaque avec pose d'électrodes épicardiques atriale et ventriculaire, pour stimulation définitive"
"DELF001";"Implantation d'un stimulateur cardiaque définitif avec pose d'une sonde dans le sinus coronaire et d'une sonde intraatriale ou intraventriculaire droite par voie veineuse transcutanée"
"DELF002";"Implantation d'un défibrillateur cardiaque automatique, avec pose d'une sonde intraatriale et d'une sonde intraventriculaire droites, par voie veineuse transcutanée"
"DELF005";"Implantation d'un stimulateur cardiaque définitif avec pose d'une sonde intraatriale et d'une sonde intraventriculaire droites par voie veineuse transcutanée"
"DELF006";"Pose d'une sonde intraventriculaire droite et d'une sonde dans le sinus coronaire ou l'oreillette droite pour stimulation cardiaque temporaire, par voie veineuse transcutanée"
"DELF007";"Implantation d'un stimulateur cardiaque définitif avec pose d'une sonde intraatriale ou intraventriculaire droite par voie veineuse transcutanée"
"DELF010";"Implantation d'un stimulateur cardiaque définitif avec pose d'une sonde intraatriale et intraventriculaire droite unique par voie veineuse transcutanée"
"DELF011";"Pose d'une sonde intraventriculaire droite pour stimulation cardiaque temporaire, par voie veineuse transcutanée"
"DELF013";"Implantation d'un défibrillateur cardiaque automatique, avec pose d'une sonde intraventriculaire droite par voie veineuse transcutanée"
"DELF014";"Implantation d'un défibrillateur cardiaque automatique, avec pose d'une sonde intraatriale droite et de sonde dans le sinus coronaire, par voie veineuse transcutanée"
"DEMP001";"Contrôle et réglage secondaire d'un défibrillateur cardiaque par télétransmission"
"DEMP002";"Contrôle et réglage secondaire d'un stimulateur cardiaque par télétransmission"
"DENF001";"Destruction de foyer arythmogène atrial droit par méthode physique, par voie veineuse transcutanée"
"DENF003";"Destruction de foyer arythmogène atrial gauche par méthode physique, par voie veineuse transcutanée"
"DEPF002";"Interruption complète de plusieurs voies accessoires de conduction cardiaque par méthode physique, par voie vasculaire transcutanée"
"DEPF003";"Interruption complète d'une voie accessoire de conduction cardiaque par méthode physique, par voie veineuse transcutanée"
"DEQA002";"Enregistrement épicardique [Cartographie épicardique] peropératoire"
"DEQF001";"Exploration électrophysiologique intracardiaque par sonde intracavitaire droite par voie veineuse transcutanée, avec manoeuvres provocatrices d'une tachycardie à l'étage ventriculaire"
"DEQF002";"Exploration électrophysiologique intracardiaque par sonde intracavitaire droite par voie veineuse transcutanée, avec manoeuvres provocatrices d'une tachycardie à l'étage auriculaire et à l'étage ventriculaire"
"DEQF003";"Exploration électrophysiologique intracardiaque par sonde intracavitaire droite, par voie veineuse transcutanée"
"DEQF004";"Exploration électrophysiologique intracardiaque par sonde intracavitaire droite par voie veineuse transcutanée, avec manoeuvres provocatrices d'une tachycardie à l'étage auriculaire"
"DEQF005";"Exploration électrophysiologique intracardiaque par sondes intracavitaires droite et gauche par voie vasculaire transcutanée, avec manoeuvres provocatrices d'une tachycardie"
"DEQP001";"Électrocardiographie, avec enregistrement événementiel déclenché et télétransmission"
"DEQP002";"Électrocardiographie à haute amplification"
"DEQP003";"Électrocardiographie sur 12 dérivations ou plus"
"DEQP004";"Surveillance continue de l'électrocardiogramme par oscilloscopie et/ou télésurveillance, par 24 heures"
"DEQP005";"Électrocardiographie sur 2 dérivations ou plus, avec enregistrement continu pendant au moins 24 heures"
"DEQP007";"Surveillance continue de l'électrocardiogramme par oscilloscopie et/ou télésurveillance, avec surveillance continue de la pression intraartérielle et de la saturation artérielle en oxygène par méthodes non invasives, par 24 heures"
"DERF002";"Choc électrique cardiaque à haute énergie, par voie vasculaire transcutanée"
"DERP001";"Déclenchement de fibrillation ventriculaire, pour contrôle et mesure du seuil de défibrillation chez un porteur de défibrillateur"
"DERP002";"Déclenchement de fibrillation atriale, pour contrôle et mesure du seuil de défibrillation chez un porteur de défibrillateur"
"DERP003";"Choc électrique cardiaque externe [Cardioversion], en dehors de l'urgence"
"DERP004";"Choc électrique cardiaque externe [Cardioversion], en urgence"
"DERP005";"Stimulation cardiaque temporaire, par voie veineuse transcutanée"
"DERP006";"Épreuve d'inclinaison [Tilt test] avec étude des variations de la pression intraartérielle et de la fréquence cardiaque"
"DFAF001";"Dilatation intraluminale de plusieurs branches de l'artère pulmonaire avec pose d'endoprothèse, par voie veineuse transcutanée"
"DFBA001";"Cerclage de l'artère pulmonaire, par thoracotomie sans CEC"
"DFQH001";"Artériographie sélective du tronc et/ou des branches de l'artère pulmonaire, par voie veineuse transcutanée"
"DGCA003";"Pontage rétropéritonéal entre l'aorte thoracique descendante et les artères fémorales, par abord direct"
"DGCA004";"Pontage bifurqué aorto-bifémoral par laparotomie, avec clampage infrarénal"
"DGCA007";"Pontage aortoaortique infrarénal par laparotomie, avec clampage infrarénal"
"DGCA009";"Pontage aortofémoral unilatéral par laparotomie, avec clampage infrarénal"
"DGCA022";"Pontage bifurqué aorto-bisiliaque par laparotomie, avec clampage infrarénal"
